src_system;src_name;src_column_name;src_column_order;is_nullable;is_primary_key;bronze_col_name;bronze_col_datatype
datasphere;I_PAYMENTTERMSTEXT;__operation_type;1;0;0;__change_type;STRING
datasphere;I_PAYMENTTERMSTEXT;__sequence_number;2;1;0;__sequence_number;"DECIMAL(20;0)"
datasphere;I_PAYMENTTERMSTEXT;__timestamp;3;0;0;__extract_timestamp;TIMESTAMP
datasphere;I_PAYMENTTERMSTEXT;LANGUAGE;4;0;1;language;STRING
datasphere;I_PAYMENTTERMSTEXT;PAYMENTTERMS;5;0;1;payment_terms;STRING
datasphere;I_PAYMENTTERMSTEXT;PAYMENTTERMSNAME;6;1;0;payment_terms_name;STRING
datasphere;I_PAYMENTTERMSTEXT;PAYMENTTERMSDESCRIPTION;7;1;0;payment_terms_description;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;__operation_type;1;0;0;__change_type;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;__sequence_number;2;1;0;__sequence_number;"DECIMAL(20;0)"
datasphere;I_EXCHANGERATEFACTORSRAWDATA;__timestamp;3;0;0;__extract_timestamp;TIMESTAMP
datasphere;I_EXCHANGERATEFACTORSRAWDATA;EXCHANGERATETYPE;4;0;1;exchange_rate_type;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;SOURCECURRENCY;5;0;1;from_currency;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;TARGETCURRENCY;6;0;1;to_currency;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;VALIDITYSTARTDATE;7;0;1;validity_start_date;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;NUMBEROFSOURCECURRENCYUNITS;8;1;0;ratio_from_currency_units;"DECIMAL(9;0)"
datasphere;I_EXCHANGERATEFACTORSRAWDATA;NUMBEROFTARGETCURRENCYUNITS;9;1;0;ratio_to_currency_units;"DECIMAL(9;0)"
datasphere;I_EXCHANGERATEFACTORSRAWDATA;ALTERNATIVEEXCHANGERATETYPE;10;1;0;alternative_exchange_rate_type;STRING
datasphere;I_EXCHANGERATEFACTORSRAWDATA;ALTVEXCHANGERATETYPEVALDTYDATE;11;1;0;alternative_exchange_rate_type_date_valid_from;STRING
datasphere;I_EXCHANGERATERAWDATA;__operation_type;1;0;0;__change_type;STRING
datasphere;I_EXCHANGERATERAWDATA;__sequence_number;2;1;0;__sequence_number;"DECIMAL(20;0)"
datasphere;I_EXCHANGERATERAWDATA;__timestamp;3;0;0;__extract_timestamp;TIMESTAMP
datasphere;I_EXCHANGERATERAWDATA;EXCHANGERATETYPE;4;0;1;exchange_rate_type;STRING
